Frequency,Cp Avg,Cp Stdev,Loss Avg,Loss Stdev
8709.636,3.95111E-11,7.6944E-12,0.11997054,0.016007061
9120.108,3.93701E-11,7.63819E-12,0.12043248,0.016395841
9549.926,3.92268E-11,7.62215E-12,0.12007342,0.016440754
10000,3.90742E-11,7.56477E-12,0.12013802,0.016596219
10471.285,3.89338E-11,7.52187E-12,0.12033882,0.016934769
10964.782,3.87748E-11,7.49212E-12,0.12161532,0.017596688
11481.536,3.86361E-11,7.46806E-12,0.12043858,0.017179005
12022.644,3.85038E-11,7.42259E-12,0.12059044,0.017697353
12589.254,3.83596E-11,7.3754E-12,0.12125072,0.018385566
13182.567,3.82179E-11,7.33406E-12,0.12084404,0.017672124
13803.843,3.80709E-11,7.29767E-12,0.12128082,0.017715192
14454.398,3.79331E-11,7.25675E-12,0.121396298,0.01877287
15135.612,3.78019E-11,7.22727E-12,0.12150242,0.018877816
15848.932,3.76417E-11,7.18747E-12,0.12196226,0.019165483
16595.869,3.75132E-11,7.14147E-12,0.12176898,0.019478016
17378.008,3.73847E-11,7.11322E-12,0.12220958,0.019519495
18197.009,3.72456E-11,7.07184E-12,0.12194224,0.019121656
19054.607,3.70986E-11,7.05117E-12,0.122335458,0.019894244
19952.623,3.69834E-11,7.02565E-12,0.12256016,0.020090515
20892.961,3.68306E-11,6.96994E-12,0.12177069,0.020679181
21877.616,3.66947E-11,6.93606E-12,0.122545788,0.02015923
22908.677,3.65696E-11,6.87991E-12,0.12197388,0.020614065
23988.329,3.64359E-11,6.85821E-12,0.122361374,0.020679196
25118.864,3.62937E-11,6.81681E-12,0.12224293,0.020466842
26302.68,3.61592E-11,6.77825E-12,0.121823162,0.021067118
27542.287,3.60367E-11,6.75885E-12,0.122005956,0.020818721
28840.315,3.59031E-11,6.71745E-12,0.122447354,0.021452941
30199.517,3.57801E-11,6.6842E-12,0.121844766,0.021673649
31622.777,3.56393E-11,6.64905E-12,0.122176972,0.021366802
33113.112,3.55193E-11,6.62102E-12,0.121763666,0.020956963
34673.685,3.53914E-11,6.58317E-12,0.12190318,0.021378493
36307.805,3.52644E-11,6.54802E-12,0.121863136,0.021639061
38018.94,3.51249E-11,6.50111E-12,0.121960818,0.02124841
39810.717,3.5002E-11,6.47561E-12,0.122334716,0.021701069
41686.938,3.48742E-11,6.44261E-12,0.121988352,0.021908455
43651.583,3.47399E-11,6.42011E-12,0.12136623,0.021559584
45708.819,3.46297E-11,6.38619E-12,0.121636328,0.021976733
47863.009,3.45017E-11,6.3305E-12,0.121677488,0.022300733
50118.723,3.43644E-11,6.30554E-12,0.121879384,0.022609148
52480.746,3.4258E-11,6.27414E-12,0.121803524,0.022075599
54954.087,3.4129E-11,6.24783E-12,0.121713674,0.021924373
57543.994,3.3997E-11,6.21456E-12,0.121840312,0.02275185
60255.959,3.3879E-11,6.17694E-12,0.121620132,0.022247223
63095.734,3.37518E-11,6.15893E-12,0.121745328,0.022325273
66069.345,3.36299E-11,6.11813E-12,0.12171093,0.022046743
69183.097,3.35048E-11,6.09359E-12,0.121199392,0.022674939
72443.596,3.33839E-11,6.06392E-12,0.121393962,0.021943453
75857.758,3.32739E-11,6.02724E-12,0.121016202,0.022692441
79432.823,3.31384E-11,5.99728E-12,0.121396478,0.022342508
83176.377,3.30164E-11,5.96401E-12,0.121101794,0.022179277
87096.359,3.28883E-11,5.93106E-12,0.120751356,0.022197012
91201.084,3.27898E-11,5.90412E-12,0.120812594,0.022148122
95499.259,3.26595E-11,5.86923E-12,0.120664366,0.022205884
100000,3.25449E-11,5.84844E-12,0.12069007,0.022264657
104712.855,3.24271E-11,5.81792E-12,0.12059508,0.021960981
